app_name, en avan,[Aa]ggiornat|in ritardo|puntual,[Aa]ldi|[Pp]enny|[Nn]etto|[Kk]aufland|[sS]aturn| [Ff]ehlen| [fF]ehlt,[Aa]mbiente|carta |giornalini|spreco|spreca |sprechi|sprecare,[Bb]ons? (de)? réduction|[Cc]oupon,[Cc]artace|[cC]assetta,[Cc]arte |fedelt[àa]|[tT]esser,[Cc]artes?,[Cc]ashback|[Cc]oupon|[Bb]uoni sconto|[Bb]uono sconto,[Cc]onfinement|[Cc]orona,[Cc]orona|[Ll]ockdown,[Ff]iltr|ordina per|ordino per|ordinare per,[Ii]nterattiv,[Ll]istes? des? courses?|[Ll]istes? d?'?achats?|[Ff]avori|[sS]auve,[Mm]ancant|ignorat|manca |mancano,[Mm]anqu,[Nn]otifiche,[Pp]andemia|[Vv]irus|[Cc]orona|[Ll]ockdown,[Pp]apier|[ÉeéE]colo|[Pp]lan[èe]te,[Pp]ubblicit[aà],[Rr]egione|[Pp]rovincia|[rR]oma|[Ll]ocal|[pP]osizione|distanza|zona|chilometr|vicin|due passi da,[Tt]ablette,[Zz]oom,[Zz]oom|[Aa]grandi,[Zz]oom|ingrandi,[bB]o[iî]te|[Cc]ourrier|courriel,[bB]riefkast,[cC]oin|[cC]ashback|[gG]utschein,[kK]arte,[lL]ist|[sS]peichern|[eE]inkaufszettel|[lL]ieblings|[fF]avorit,[nN]otifications,[pP]apier|[uU]mwelt|nachhaltig,[sS]alv[ao]|preferiti|[lL]ista della spesa,[sS]tandort|[nN][aä]he|[sS]t[äa]dt|[pP]ostleitzahl,[tT]ablet,[tT]ablet|[iI][pP]ad,[tT]rop (de)? pubs?|[Tt]rop (de )?publicit[ée]s?|[Bb]ourr[ée]e?s? (de )?pubs?|[Bb]ourr[ée]e?s? (de )?publicit[ée]s?|[Bb]lind[ée]e?s? (de )?pubs?|[Bb]lind[ée]e?s? (de )?publicit[ée]s?|[Cc]ombl[ée]e?s? (des? )?pubs?|[Cc]omblee?s? (des? )?publiticit[ée]s?|pub [àa] (la)? pub|[Rr]emplie?s? (de )?pubs?|[Rr]emplie?s? (de )?publicit[ée]s|pubs? vid[ée]o|pop up,[wW]erbung,[àa] jour,anteprim|anticip,cancella|rimouv|scadut,local|[0-9 ]km|code postal,offline,ritaglio|ritaglia|forbici
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_catalogue_promo_valioman/fr_catalogue_promo_valioman,0, , , ,0, , ,0, ,0, , , ,2, ,0, , ,0, , ,0, ,3, ,0, , , , ,0, , , , , ,0, ,5, , ,0,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_catalogue_promo_valioman_three_star/fr_catalogue_promo_valioman_three_star,0, , , ,0, , ,0, ,0, , , ,2, ,0, , ,0, , ,0, ,2, ,0, , , , ,0, , , , , ,0, ,5, , ,0,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_catalogues_promo_et_prospectus/fr_catalogues_promo_et_prospectus,2, , , ,0, , ,0, ,0, , , ,0, ,1, , ,1, , ,1, ,0, ,0, , , , ,0, , , , , ,0, ,0, , ,1,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_catalogues_promo_et_prospectus_three_star/fr_catalogues_promo_et_prospectus_three_star,0, , , ,0, , ,0, ,0, , , ,0, ,1, , ,0, , ,1, ,0, ,0, , , , ,0, , , , , ,0, ,0, , ,1,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_kimbino_fr/fr_kimbino_fr,0, , , ,0, , ,0, ,0, , , ,0, ,0, , ,0, , ,0, ,0, ,0, , , , ,0, , , , , ,2, ,0, , ,0,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_kimbino_fr_three_star/fr_kimbino_fr_three_star,0, , , ,0, , ,0, ,0, , , ,0, ,0, , ,0, , ,0, ,0, ,0, , , , ,0, , , , , ,2, ,0, , ,0,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_kingbee_fr/fr_kingbee_fr,1, , , ,0, , ,0, ,0, , , ,3, ,2, , ,18, , ,0, ,1, ,14, , , , ,0, , , , , ,1, ,5, , ,2,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_kingbee_fr_three_star/fr_kingbee_fr_three_star,0, , , ,0, , ,0, ,0, , , ,1, ,1, , ,2, , ,0, ,1, ,0, , , , ,0, , , , , ,0, ,0, , ,0,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_listonic_fr/fr_listonic_fr,0, , , ,2, , ,0, ,0, , , ,2, ,0, , ,5, , ,1, ,0, ,4, , , , ,0, , , , , ,2, ,3, , ,4,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/fr_listonic_fr_three_star/fr_listonic_fr_three_star,0, , , ,1, , ,0, ,0, , , ,0, ,0, , ,0, , ,0, ,0, ,0, , , , ,0, , , , , ,2, ,1, , ,4,0, 
